,일자,WTI,USD,미국채(10year),다우,나스닥,S&P,PDM,VIX(S&P),VIX(KOSPI)
0,2022.03.15,-,"1,242.00/3.00",-,"32,945.24/1.05","12,581.22/-262.59","4,173.11/-31.20","3,047.50/-96.65",-,-
1,2022.03.14,103.01/-5.78%,"1,239.00/2.00",2.142/5.04%,-,-,-,-,31.77/3.32%,24.70/1.19%
2,2022.03.13,-,-,2.039/2.11%,-,-,-,-,-,-
3,2022.03.12,-,-,-,"32,944.19/-229.88","12,843.81/-286.15","4,204.31/-55.21","3,144.15/-66.92",-,-
4,2022.03.11,109.33/+3.12%,"1,237.00/8.50",1.997/0.18%,"33,174.07/-112.18","13,129.96/-125.59","4,259.52/-18.36","3,211.07/-71.11",30.75/1.72%,24.41/-5.06%
5,2022.03.10,106.02/-2.46%,"1,228.50/-7.00",1.993/2.15%,"33,286.25/653.61","13,255.55/460.00","4,277.88/107.18","3,282.18/125.31",30.23/-6.84%,25.71/-11.19%
6,2022.03.09,108.70/-12.12%,-,1.951/6.03%,"32,632.64/-184.74","12,795.55/-35.41","4,170.70/-30.39","3,156.87/57.94",32.45/-7.63%,-
7,2022.03.08,123.70/+3.60%,"1,235.50/5.00",1.840/3.58%,"32,817.38/-797.42","12,830.96/-482.48","4,201.09/-127.78","3,098.93/-159.99",35.13/-3.62%,28.95/3.99%
8,2022.03.07,119.40/+3.21%,"1,230.50/13.00",1.777/5.57%,-,-,-,-,36.45/13.98%,27.84/13.31%
9,2022.03.06,-,-,1.683/-3.13%,-,-,-,-,-,-
10,2022.03.05,-,-,-,"33,614.80/-179.86","13,313.44/-224.50","4,328.87/-34.62","3,258.92/-80.84",-,-
11,2022.03.04,115.68/+7.43%,"1,217.50/10.50",1.737/-5.60%,"33,794.66/-96.69","13,537.94/-214.08","4,363.49/-23.05","3,339.76/-76.40",31.98/4.92%,24.57/8.10%
12,2022.03.03,107.67/-2.64%,"1,207.00/-0.50",1.840/-2.02%,"33,891.35/596.40","13,752.02/219.56","4,386.54/80.28","3,416.16/111.31",30.48/-0.85%,22.73/-8.68%
13,2022.03.02,110.60/+6.95%,"1,207.50/3.00",1.878/9.49%,"33,294.95/-597.65","13,532.46/-218.94","4,306.26/-67.68","3,304.85/-124.68",30.74/-7.74%,24.89/1.97%
14,2022.03.01,103.41/+8.03%,-,1.716/-5.82%,-,-,-,-,33.32/10.51%,-
15,2022.02.28,-,"1,204.50/0.00",1.822/-3.82%,-,-,-,-,30.15/9.28%,24.41/2.39%
16,2022.02.27,-,-,1.894/-3.88%,-,-,-,-,-,-
17,2022.02.26,-,-,-,-,-,-,-,-,-
18,2022.02.25,-,-,1.970/0.00%,-,-,-,-,27.59/-9.00%,23.84/-12.00%
19,2022.02.24,-,-,1.970/-1.40%,-,-,-,-,30.32/-2.26%,27.09/12.55%
