,일자,제목,내용
0,25.08.22,신한 Econ Check-up,"9월 인하 기대 뒷받침한 미국 물가 - 지난주 미국 7월 소비자물가 발표까지 유지됐던 신속한 금리 인하 기대는 생산자물가 발표 이후 훼손. 생산자물가 전월대비 0.9% 오르며 향후 관세 발 인플레 상승 압력 예고한 까닭- 7월 FOMC 의사록에서는 6월 의사록에 비해 경기 성장 둔화, 관세 발 인플레 경계가 명확해진 가운데 통화정책 운용 방향에 대해 연준 내 이견 심화. FOMC 회의에서 드러난 내용 재확인된 수준으로 금융시장의 신속한 금리인하 기대(연내 75bp 인하) 미충족. 주말 예정된 잭슨홀 미팅에서의 파월 의장 발언 대기- 미국과 유로존 8월 S&P Global PMI 종합 PMI 51.1, 55.4로 개선세 지속. 유로존은 서비스업 성장 가속화 속에 제조업 회복세 강화 주효. 미국 역시 서비스업 PMI가 55.4로 7월(55.7) 수준을 유지한 가운데 제조업이 전월 부진(49.8) 만회하며 반등폭 확대(53.3)를 이끈 결과. 미국은 상품과 서비스 판매 가격 모두 지난 3년 중 가장 가파른 상승세 시현- 중국 기준금리 역할하는 대출우대금리 3개월 째 동결. 7월 주요 동행지표 부진 감안 시 9월 추가 특별채 발행 등 재정정책 발표 후 금리 인하 병행 예상"
1,25.08.22,신한 FX Check-up,"잭슨홀 미팅 대기 속 달러화 강보합 - 달러화지수 98pt대 강보합 흐름. 미-러 정상회담에서 뚜렷한 성과 부재 속 향후 종전 협상 지켜봐야한다는 인식에 전주 달러 하락폭 되돌림 전개. 주 후반 예정된 잭슨홀 미팅 대기하며 관망세 지속. 주요국 PMI 견조한 흐름에 매파적 연설 우려 확산. 주중 트럼프의 리사 쿡 연준 이사(매파 성향) 사퇴 압박 소식은 달러 하방 압력이나 영향은 제한적- 달러/유로 1.16달러 중반대 하락. 전주 휴전 기대감 되돌림에 따른 상승 폭 반납. 미국 증시 기술주 중심 매도세 속 위험 선호 일부 약화돼 달러대비 약세 부각. 엔/달러는 147엔대에서 완만한 하락. 양호한 2분기 GDP 발표에도 대외 강 달러 연동된 영향- 원/달러 1,390원대 상승. 대외 강 달러 압력 우세한 가운데 주간 외국인 코스피 순매도 등 수급 요인 악화도 가세. 삼성전자 배당금 지급으로 외국인 배당금 역송금 수요 집중돼 주중 상방 우위 흐름 유지"
2,25.08.22,"8월 금통위, 기준금리 2.50% 동결 전망","25년 8월 한은 금통위 기준금리 2.50%로 동결 전망 8월 한국은행 금융통화위원회에서 기준금리가 현 수준인 2.50%로 동결될 것으로 전망한다(소수의견 없는 만장일치 예상). 여전히 성장에 대한 하방 위험이 크다는 점에서 인하 기조를 확인할 수 있겠으나, 앞선 7월 기준금리 동결 이유로 통화당국이 직접 강조했던 서울 아파트 가격 상승, 가계부채 증가 등과 같은 요인들의 안정 여부를 좀 더 확인할 필요가 있어 이번 달에는 동결을 예상한다. 한편 당사는 4분기에 추가 기준금리 인하가 이뤄져 올해 한국의 최종금리 수준은 2.25%에 이를 것으로 예상한다."
3,25.08.22,다시 주목받는 잭슨홀 ,"중장기 통화정책 프레임워크 변화 발표하는지 확인 필요이번 주 공개된 7월 FOMC 의사록에서 다수 위원들은 관세로 인한 물가압력이 장기화될 경우 기대인플레이션이 빠르게 안정되지 않을 수 있다는 위험을 지적했다. 지난 회의 당시 월러, 보우먼 이사는 노동시장 약화에 주목하며 25bp 인하를 주장한 바 있다. 이후 발표된 실물지표를 돌아보면 고용데이터는 큰 폭으로 하향조정되며 시장에 충격으로 작용했다. 또한 CPI를 선행하는 PPI와 수입물가가 컨센서스를 상회하며 물가에 대한 경계 역시 확대된 상황이다. 한편 트럼프는 연준에 대한 압박을 쉬지 않고 있다. 파월의장이 주택시장을 망치고 있다며 금리 대폭인하를 재차 요구했으며, 모기지 사기에 연루된 쿡 이사를 사임해야 한다고 주장하기도 했다. 실물지표를 확인하고도 통화정책 불확실성은 일부 남아있으며 연준 독립성에 대한 우려까지 유입되어 있어, 금일 밤 파월 연설을 앞둔 잭슨홀미팅에 대한 금융시장 관심이 큰 것으로 풀이된다. 미 고용시장 둔화가 본격적으로 나타날 경우 물가상승이 추세적으로 확대될 가능성은 제한적이다. 시장도 이를 어느정도 인지한 만큼, 연준이 당장 금리결정에 있어 뚜렷한 힌트를 주지 않더라도 9월 인하재개 컨센서스는 유지될 공산이 크다. 다만 직접적으로 매파적인 스탠스를 보인다면, 최근 확대되었던 금리인하 기대감이 축소되며 변동성이 확대될 수 있음을 경계해야 할 것이다. 중장기 통화정책 프레임워크에 대한 관심 또한 지배적이다. 통화정책 불확실성 및 수급 이슈로 여전히 높은 미 시중금리가 잭슨홀미팅 이후 하락할 수 있을지, 중장기 정책변화가 또다른 시장 변동성 확대 요인으로 작용하지는 않는지 모니터링이 필요하다. 다음주 엔비디아 실적발표를 앞두고 목표가가 연이어 상향된 가운데, 결과가 시장 기대에 충족하는지도 확인이 필요하다. 샘 올트먼의 AI 투자 붐이 닷컴버블과 유사하다는 발언으로 일부 훼손되었던 기술주 투자심리가 다시 살아나는지 역시 전반적인 금융시장 투자심리에 중요하게 작용할 전망이다."
4,25.08.22,"[Global Macro Alert] 25년 잭슨홀 미팅, 패는 감추고..","일관적이지 않은 경제지표의 방향성, 잭슨홀에서의 중립적 스탠스를 유도 2025년 잭슨홀 미팅(8/21~23)이 개최되면서 금융시장의 이목이 파월 의장의 잭슨홀 연설(8/22 23:00, 한국 시간 기준)에 쏠리고 있다. 트럼프 정부의 금리 인하 압박이 거세지며 연준의 독립성 훼손 우려가 높아지는 가운데 파월 의장이 9월 인하를 포함한 통화정책의 방향성 변화를 예고할 수 있다는 기대감이 자리잡은 탓이다. 물론 7월 FOMC 이후 발표된 고용지표는 미국 경기 둔화 확률을 높이고 있지만, 아직까지 미국 경제지표의 방향성은 일관적이지 않다. 7월 FOMC 의사록도 다수의 위원들이 고용보다 인플레이션 위험을 경계하면서 매파적인 스탠스를 유지했다. 9월 회의 전까지 연준은 더 많은 데이터를 확보하고자 할 것이며, 금번 연설에서도 파월 의장은 데이터 의존적 접근을 고수하며 신중한 입장을 견지할 가능성이 높다."
5,25.08.22,유동성 장세의 시작,유동성 장세의 시작 중국 증시가 상승장을 이어가고 있다. 거래대금은 연일 2 조 위안을 돌파하고 있고 A주의 리스크 프리미엄도 과거 10년 평균 수준으로 하락해 투자자들의 위험자산 선호 심리가 강화되고 있음을 확인할 수 있다. 924 정책 패키지 이후 주춤해진 신규 계좌 개설도 기관과 개인 모두 다시 늘어나기 시작했다. 시장 참여자가 늘어남에 따라 레버리지 자금을 비롯해 사모펀드와 공모펀드의 운용 규모와 신규 발행도 증가하고 있다. 7 월부터는 개인의 예금이 비은행금융기관으로 흘러 들어가는 모습이 확인되었다. 그간 중국 개인 투자자는 부동산에 의존해 자산을 늘려왔다. 그러나 부동산 규제로 인해 자산 효과가 소멸되었고 2022 년부터 사람들은 대출을 조기 상환하거나 안정적인 예금에 쌓아두는 초과 저축 현상이 두드러지게 나타났다. 이후 중국이 부동산 시장 안정을 위해 부동산 대출 금리 인하를 실시하면서조기 상환 현상은 진정되었으나 초과 저축 현상은 지속되었다. 2025 년 상반기 가계  예금은 2011-2019 년 추세선을 50 조 위안 넘게 쌓인 상태다. 또한 중국의 국채수익률이 2020 년 이후 꾸준히 1.6%대까지 하락해 채권 투자 매력이 상대적으로 떨어진 상황에서 올해 5 월 시중은행마저 예금 금리를 1% 아래로 인하하면서 개인들의 투자 대안이 부재해졌다. 여기에 7 월 중국 정부가 부동산 시장 안정 대신 자본시장 안정과 활성화를 강조하면서 정책적 기대가 더해지며 점차 주식 투자를 시작하려는 것으로 보여진다.
6,25.08.22,Market Weekly Check ME up!,"경제지표 Preview - 미국 PPI 확인 이후 인플레이션과 연준의 통화정책에 대한 불안감이 증가하고 있음. 현 시점에서 연준의 핵심 관심사 중 하나는 기대 인플레이션의 방향성일 수 있음. 향후 관세 영향 전가 과정에서 인플레이션의 상승은 불가피하나, 이 것이 일시적이라는 인식하에 기대 인플레이션이 안정된다면 연준이 고용지표에 조금 더 집중하는 선택이 스월해 질 수 있음. 지난 주 발표된 미시건대 소비자심리지수 1년 기대 인플레이션은 4.9%로 전월 4.5%에서 반등. 조정 여부 확인 필요. 물론 PCE 물가 지수 상승 여부도 중요한 포인트 중 하나- 미국 컨퍼런스보드 소비자기대지수도 확인이 필요. 일반적으로 동 심리지표는 고용 부문 반영도가 높아 미시건대 심리지표보다 느리지만 고용시장 악화 시 사후적으로 급한 흐름을 보이는 경우가 많음. 여기에 주안점을 두고 확인 필요"
7,25.08.22,"08/22, Kiwoom Morning Letter","Comment - 21일(목) 코스피는 미국 기술주 약세 지속과 미 기준금리 인하 기대감 약화에도 저가매수 심리가 유입되며 3,141.74로 강보합 마감(KOSPI 0.37%, KOSDAQ -0.05%). 최근 급락했던 원전·방산주, 조선 등 주도주들이 반등한 영향. 기관이 2천282억원 순매수, 개인과 외국인은 각각 2천 590억원, 837억원 순매도. 한전기술15.29%, 한국전력(2.40%), 두산에너빌리티(7.14%) 등 원전주 강세. LIG넥스원(4.10%), 한화시스템(3.76%), 한화에어로스페이스(2.21%) 등 방산주도 상승 마감. 삼성전자는 엔비디아에 보낸 HBM4 샘플이 합격했다는 소식이 전해지며 0.14% 상승한 반면, SK하이닉스(-4.11%)는 미국 기술주 하락의 여파에 한 달여만에 25만원 선 아래에서 종가 마감."
8,25.08.22,08/22 Weekly Macro,"정책 이벤트 집중 구간: 한미 정상회담과 금통위의 시장 영향 다음 주에는 한미 정상회담과 한국은행 금융통화위원회가 예정되어 있다. 주말 잭슨홀 미팅에서 나온 연준의장의 발언은 주초에 금융시장에 영향을 미칠 수 있다. 다만, 금융시장에서 이미 명확한 금리 방향성을 잡기 어려운 점을 이미 반영하고 있어, 부정적인 영향은 제한적일 것으로 보인다. 이에 따라 시장의 시선은 한미 정상회담과 금통위로 옮겨갈 전망이다. 한·미 정상회담에서는 7 월 발표된 관세 협정에 이어 한국의 대미 투자 계획과 경제 협력 확대 범위가 주목된다. 또한, 미국이 방위비 분담 증대를 요구할 가능성이 높은 만큼, 이에 대한 논의 결과도 중요한 변수다. 특히 방위비 인상 요구와 그 수준에 따라 한국의 재정 부담이 커질 경우, 금리 변동성이 확대될 수 있다. 한국은행 금융통화위원회에서는 기준금리 인하 여부를 둘러싸고 의견이 팽팽하다. 국내 확장적 재정 기조와 주택가격 상승세 둔화를 근거로 당초에는 25bp 인하 전망이 우세했으나, 최근 한은 총재가 부동산 가격의 추세적 안정 여부를 좀 더 지켜볼 필요가 있다고 언급하면서 상황이 달라졌다. 여기에 달러/원 환율 상승과 미국 통화정책 방향성까지 고려해야 한다는 점이 더해지면서 8 월보다는 10 월 금리 인하를 전망하는 시각도 늘고 있다. 현재로서는 8 월 금리 인하 전망에 무게가 실리지만, 동결되더라도 10 월 인하 가능성은 충분히 열려 있을 것으로 보인다."
9,25.08.22,소리없이 강해진 중국 증시의 의미,"상하이 종합지수마저 10년래 최고치 경신 중국 경기 우려가 해소되지 못하고 있지만 중국 상하이 종합지수가 10년래 최고치를 기록하는 등 강한 상승 랠리를 기록중이다. 특히 상하이 종합지수가 7월보다 8월에 들어 상승폭이 확대되는 등 주요국 증시 중 가장 높은 상승폭을 기록하고 있다. 중국 본토 증시, 즉 상하이 증시의 강한 상승 랠리는 다소 이례적이다. 중국 경제 펀더멘털이 개선되는 신호가 나타나지 않고 있기 때문이다. 7월 주요 경제지표는 예상보다 실망스러웠다. 내수부양정책에도 불구하고 7월 소매판매 증가율은 전년동월 3.7%로 시장 예상치 4.6%를 크게 하회했다. 더욱 심각한 것은 고정투자 증가율로 8월 고정투자 증가율은 전년동월 1.6%로 마침내 1%대까지 추락했다. 고정투자증가율 1%대는 팬데믹 당시를 제외하면 첫 1%대 증가율이다. 중국 투자가 사실상 정체 상태라고 표현할 수 있을 정도이다. 부동산투자 투자 감소폭이 두자리대를 벗어나지 못하고 있는 상황에서 제조업 투자 증가율도 둔화세가 이어지고 있다. 이밖에도 26개월째 하락세가 지속되고 있는 생산자물가와 재차 17%대로 청년 실업률 등 각종 중국 경제지표에서 회복의 시그널을 찾아보기 힘들다. 그럼에도 불구하고 중국 증시가 강한 랠리를 보이고 있는 배경으로는 관세 리스크 완화를 우선 지적할 수 있다. 트럼프 대통령이 취임하고 4월초 상호관세가 발표될 당시만해도 중국은 고율 관세의 표적이었다. 그러나, 관세협상이 진행되면서 중국에 대한 고율관세가 2차례 유예되면서 중국은 다소나마 고율관세 부담에서 벗어나게 된 반면 여타 주요국은 당초 예상보다 높은 관세율을 부과받게 되었다. 최근에는 트럼프 대통령의 대중 압박 강도가 다소 느슨해진 분위기마저 보여주고 있다. 우려보다 낮아진 관세 부담이 아무래도 중국 증시의 상승 동력을 작용하고 있다는 판단이다. 두번째는 중국 수출 사이클이다. 미국의 관세 리스크와도 맞물려 있는 중국 수출 경기는 내수경기보다 상대적으로 양호하다. 대미 수출이 급감했지만 아세안 등 이머징 수출이 기대이상 호조를 보이면서 중국 수출증가율은 7월에도 전년동월 7.2% 증가하면서 1~7월 누적기준 6.1%의 양호한 수출실적을 기록 중이다. 이처럼 우려보다 양호한 수출경기가 중국 경제를 방어하고 있는 동시에 증시에도 긍정적 영향을 미치고 있는 것이다. 세번째는 유동성 효과이다. 내수부양을 위해 완화적 통화정책 기조로 풀린 유동성이 부동산시장으로 유입되기 보다는 증시로 유입되고 있는 것으로 판단된다. 중국 정부의 정책 의지에도 불구하고 주택가격 하락 현상이 지속되고 있어 시중 유동성이 증시로 유입되고 있는 것이다. 마지막으로 정책 기대감이다. 10월 4중 전회를 앞두고 있고 올해 성장률 목표 달성을 위해 중국 인민은행이 추가 지준율 및 금리인하에 나서거나 재정정책을 더욱 확대할 수 있다는 기대감도 증시에 우호적 재료로 작용 중이다."
