No,종목,Code,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,GodenCross
0,삼성전자,005930,"72,200","-1,000",-1.37%,100,"4,310,183","5,969,783",51.84,"23,712,410",15.20,9.99,9999.0
1,SK하이닉스,000660,"97,900","-2,100",-2.10%,"5,000","712,714","728,002",47.10,"3,223,638",12.25,9.53,9999.0
2,NAVER,035420,"370,500","-11,500",-3.01%,100,"608,596","164,263",56.59,"787,508",3.69,15.22,9999.0
3,삼성전자우,005935,"66,200","-1,800",-2.65%,100,"544,751","822,887",74.89,"2,630,369",13.94,N/A,9999.0
4,삼성바이오로직스,207940,"812,000","-63,000",-7.20%,"2,500","537,260","66,165",10.57,"169,877",160.47,N/A,9999.0
5,LG화학,051910,"747,000","-23,000",-2.99%,"5,000","527,325","70,592",46.60,"285,676",20.12,2.93,9999.0
6,카카오,035720,"111,000","-5,500",-4.72%,100,"493,941","444,992",30.35,"4,865,674",103.45,2.70,9999.0
7,삼성SDI,006400,"680,000","-27,000",-3.82%,"5,000","467,599","68,765",44.97,"357,804",50.38,4.54,9999.0
8,현대차,005380,"193,500",00,0.00%,"5,000","413,448","213,668",28.44,"1,047,141",14.02,2.04,9999.0
9,기아,000270,"77,800",-500,-0.64%,"5,000","315,373","405,363",34.40,"1,802,865",9.08,5.05,9999.0
10,셀트리온,068270,"218,000","-30,000",-12.10%,"1,000","300,698","137,935",20.65,"2,369,807",51.11,16.68,9999.0
11,카카오뱅크,323410,"60,000","-5,500",-8.40%,"5,000","285,060","475,100",5.60,"3,097,831",194.17,5.08,9999.0
12,POSCO,005490,"322,000","-2,000",-0.62%,"5,000","280,742","87,187",55.05,"341,042",7.28,3.61,9999.0
13,SK이노베이션,096770,"265,000","+1,500",+0.57%,"5,000","245,034","92,466",24.34,"599,093",-54.90,-13.58,8.0
14,현대모비스,012330,"251,500","+2,000",+0.80%,"5,000","238,405","94,793",34.97,"362,417",10.79,4.66,9999.0
15,SK텔레콤,017670,"320,000","-7,000",-2.14%,500,"230,592","72,060",44.57,"495,779",12.15,6.44,9999.0
16,삼성물산,028260,"122,000",+500,+0.41%,100,"228,002","186,887",15.16,"394,739",13.91,3.81,9999.0
17,KB금융,105560,"54,800",-400,-0.72%,"5,000","227,863","415,808",68.17,"1,436,608",5.40,8.53,9999.0
18,크래프톤,259960,"463,000","-35,000",-7.03%,100,"226,645","48,951",6.29,"323,625",39.86,61.86,9999.0
19,LG생활건강,051900,"1,346,000","+15,000",+1.13%,"5,000","210,221","15,618",45.32,"36,635",28.26,17.92,9999.0
20,신한지주,055550,"39,400",-300,-0.76%,"5,000","203,540","516,600",60.81,"1,882,401",5.10,8.20,9999.0
21,LG전자,066570,"123,500","-2,000",-1.59%,"5,000","202,105","163,648",30.37,"1,152,487",14.94,13.23,9999.0
22,SK바이오사이언스,302440,"250,500","-23,000",-8.41%,500,"191,632","76,500",5.52,"1,225,601",122.02,13.25,9999.0
23,SK,034730,"262,000",-500,-0.19%,200,"184,344","70,360",19.66,"176,559",16.91,1.11,9999.0
24,SK아이이테크놀로지,361610,"212,000","-15,500",-6.81%,"1,000","151,151","71,298",9.87,"420,904",139.38,11.00,9999.0
25,한국전력,015760,"23,300",-150,-0.64%,"5,000","149,578","641,964",15.04,"1,834,935",12.55,2.91,9999.0
26,LG,003550,"93,100",+100,+0.11%,"5,000","146,447","157,301",33.66,"309,212",5.83,7.50,9999.0
27,삼성생명,032830,"71,400",-300,-0.42%,500,"142,800","200,000",12.98,"340,604",8.15,3.53,9999.0
28,포스코케미칼,003670,"176,000","-2,500",-1.40%,500,"136,335","77,463",8.09,"776,819",127.17,2.96,9999.0
29,하나금융지주,086790,"45,100",-750,-1.64%,"5,000","135,409","300,242",68.39,"1,337,885",4.45,8.96,9999.0
30,S-Oil,010950,"112,500","+2,000",+1.81%,"2,500","126,656","112,583",78.41,"592,268",14.47,-13.07,9999.0
31,삼성전기,009150,"166,000","-3,500",-2.06%,"5,000","123,992","74,694",32.77,"500,372",14.47,10.92,9999.0
32,엔씨소프트,036570,"563,000","-32,000",-5.38%,500,"123,601","21,954",45.29,"261,102",30.22,20.83,9999.0
33,HMM,011200,"30,300","-1,500",-4.72%,"5,000","122,834","405,392",10.11,"11,130,736",19.19,8.93,9999.0
34,삼성에스디에스,018260,"156,500","-1,500",-0.95%,500,"121,096","77,378",11.49,"136,423",18.79,6.71,9999.0
35,대한항공,003490,"33,500",-150,-0.45%,"5,000","116,520","347,821",12.76,"4,672,615",17.44,-7.22,9999.0
36,하이브,352820,"293,000","+1,500",+0.51%,500,"114,419","39,051",16.17,"359,904",104.23,12.52,9999.0
37,삼성화재,000810,"240,000","+2,500",+1.05%,500,"113,700","47,375",48.80,"145,383",11.37,4.96,9999.0
38,KT&G,033780,"80,700",-100,-0.12%,"5,000","110,795","137,292",36.79,"378,327",10.00,13.22,9999.0
39,아모레퍼시픽,090430,"178,000","+4,500",+2.59%,500,"104,117","58,493",32.02,"410,613",82.60,0.78,9999.0
40,두산중공업,034020,"19,500",-200,-1.02%,"5,000","101,147","518,704",9.24,"4,173,884",-46.32,-37.20,9999.0
41,넷마블,251270,"114,000","-1,000",-0.87%,100,"97,987","85,954",22.83,"199,076",34.24,6.35,9999.0
42,고려아연,010130,"505,000","+6,000",+1.20%,"5,000","95,294","18,870",19.49,"57,700",13.18,8.37,9999.0
43,현대중공업,329180,"104,500","-9,000",-7.93%,"5,000","92,768","88,773",1.35,"698,463",-9.44,-7.86,9999.0
44,한화솔루션,009830,"43,950","+1,000",+2.33%,"5,000","84,067","191,278",18.50,"2,318,304",10.90,5.30,9999.0
