,일자,종목,내용
0,22.04.01,기업은행,"1분기 실적 컨센서스 상회. 경상 순익은 더욱 양호했을 전망기업은행에 대한 투자의견 매수와 목표주가 14,500원을 유지. 1분기 순익은 전년동기대비 12.4% 증가한 6,740억원으로 컨센서스를 상회할 것으로 전망되는데 이조차도 보수적 추가 충당금 적립과 사내복지기금 출연금 증액 등이 감안된 후의 수치라는 점에서 경상 순익은 더욱 양호했을 것으로 추정. 1분기 대출성장률은 약 1.7%로 타행들보다 높은 성장률이 예상되고, NIM도 6bp 추가 상승해 4분기에 이어 1분기에도 은행 중 개선 폭이 가장 클 전망. KT&G를 비롯한 배당수입은 지난해와 비슷한 550억원 내외로 추정. 작년에 순익이 대폭 확대되었기 때문에 사내복지기금 출연액이 600억원 내외로 상당폭 증익될것으로 예상되지만 이를 제외한 경상 판관비는 전년동기대비 3.5% 증가에 그칠 것으로 보임. 감독당국의 보수적인 충당금 적립 요구에 따라 약 500억원 내외의 코로나 충당금이 추가 적립되지만 1분기 대손비용은 2,600억원 내외에 불과해 총자 산대비 대손비용률은 약 0.26%로 0.3%를 하회할 전망"
1,22.04.01,오리온,"1Q22 Pre: 중국의 부진1분기 연결 매출액 및 영업이익을 각각 6,310억원(YoY 4.8%), 967억원(YoY -5.1%)으로 추정한다. 시장 기대치를 소폭 하회할 것으로 예상한다. 1~2월 누계 법인별 매출 성장률은 각각 국내 YoY 9.2%, 중국 3.2%, 베트남 18.8%, 러시아 46.5%를 시현했다. 환율 영향 감안시 중국/ 베트남/러시아의 로컬 성장률은 각각 YoY -7%/ 10%/ 42%로 추정된다. 중국은 내수 소비 부진이 지속되면서 전년대비 역성장추세이다. 베트남은 내수가 견조한 가운데 양산빵 카테고리 확대가 주효한 것으로 판단된다. 러시아는 현재 원부자재 재고가 5월까지 구비된 것으로 파악된다. 따라서 5월까지는 생산에 차질이 없을 것으로 사료된다. 다만 3월부터 환율이 부담이다. 3월 루블화 가치는 전년동월대비 30% 하락했으며 추가 하락 가능성도 높은 상황이다. 하나금융투자는 3월 중국 및 베트남은 1~2월과 유사한 흐름을 예상한다. 러시아는 루블화 가치 급락이 실적에 부담으로 작용할 것으로 판단한다."
2,22.04.01,동원F&B,"1Q22 Pre: 부정적 대외 환경 부담1분기 연결 매출액 및 영업이익을 각각 8,537억원(YoY 3.1%), 370억원(YoY -17.3%)으로 추정한다. 오미크론 확대 기인한 마트 트래픽 및 소비심리 저하 기인해 가공식품 탑라인이 부진했던 것으로 파악된다. 더불어, 참치어가 등 원부 자재 가격 급등도 실적에 부정적 영향을 미칠 것으로 예상한다. ① 본사(가공식품) 매출액은 디어푸드 분할 및 유제품 등 판매 부진 기인해 YoY -7.3% 감소할 것으로 추정한다. ② 참치캔 판가 인상(6.2%)를 단행했음에도 불구하고 투입어가 및 부자재 가격 상승 기인해 전년대비 영업마진 하락이불가피할 것으로 판단된다. 참고로 1분기 참치 투입어가는 1,700불(YoY 27%)로 전년대비 관련 원가 부담 증가분은 5~60억원으로 추산된다. ③ 동원홈푸드는 외식 등 B2B 채널 회복 기인해 YoY 탑라인 성장은 지속하겠으나, 원부자재 급등-B2B 고객 판가 전가 간 시차가 발생하면서 YoY 마진 하락은 불가피할 것으로 전망된다."
3,22.04.01,코윈테크,"동화시스템 67.0%, 자동화시스템 유지보수 4.4%, 기타 1.1%, 탑머티리얼 25.8"
4,22.03.31,삼천당제약,■ 국내 일회용 점안제 생산 1위 기업■ 파이프라인 다각화 : 바이오 의약품 및 S-PASSTM 플랫폼 기술■ 글로벌 기업으로 도약하기 위한 해외 시장 진출 본격화
5,22.03.31,메드팩토,■ 항암 신약 및 암 진단키트로 구성된 파이프라인 구축■ 바이오마커 기반 차세대 항암제 개발■ 백토서팁과 다양한 병용임상 진행으로 기술력 입증
6,22.03.31,에스에프에이,"■ 디스플레이, 2차전지, 반도체 생산의 전주기 공정 아우르는 제품군 확보 중■ 사업 포트폴리오 다각화 기반 실적 변동성 완화 체제 구축 ■ 주력 후발사업의 전방시장 성장 및 기반사업 고도화에 기반한 중장기 성장동력 마련"
7,22.03.31,동방선기,"■ 배관사업과 도장사업 영위 및 최대주주 변경■ 의장부 조선기자재, 용접강관, 도장 및 기타 피막처리 시장의 성장세■ 최근 4개년 적자 지속, 2021년 흑자전환 전망"
8,22.03.31,파나진,■ PNA 소재 기반의 통합 체외진단 플랫폼 구축으로 기업경쟁력 확보■ 지속적인 연구개발을 통한 사업영역 확대 및 외형 성장■ 체외진단 시장 규모 확대와 동반진단 수요 증강 따른 매출 증대 전망
9,22.03.31,부스타,"■ 산업용 보일러 일괄공급 시스템 및 실시간 모니터링 시스템 구축■ 산업용 보일러 및 부품 시장의 성장세 전망■ 2021년 외형 성장 정체를 보였으나, 2022년 사업 전망은 긍정적"
